OBJECTID,MISCTYPE,COMMENTS,SHAPE_STArea__,SHAPE_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
8589,Deck_Porch_Patio,none,,,8589,35.171875,24.6453253637436
8590,Deck_Porch_Patio,none,,,8590,36.0078125,25.212281845231
8591,Deck_Porch_Patio,none,,,8591,20.60546875,18.2609220298111
8592,Deck_Porch_Patio,none,,,8592,48.0078125,34.6621643865122
8593,Deck_Porch_Patio,none,,,8593,42.46875,42.8588069634326
8594,Deck_Porch_Patio,none,,,8594,21.83203125,20.5731159228891
8595,Deck_Porch_Patio,none,,,8595,89.28125,38.3874495524647
8596,Deck_Porch_Patio,none,,,8596,38.4453125,24.8070179197743
8597,Deck_Porch_Patio,none,,,8597,28.8359375,21.7315943804525
8598,Deck_Porch_Patio,none,,,8598,20.80078125,18.5597902533243
8599,Deck_Porch_Patio,none,,,8599,55.51171875,31.2732494908704
8600,Deck_Porch_Patio,none,,,8600,26.265625,20.5249313587353
8601,Deck_Porch_Patio,none,,,8601,25.36328125,20.3270828691238
8602,Deck_Porch_Patio,none,,,8602,25.515625,19.6324967763929
8603,Deck_Porch_Patio,none,,,8603,22,23.6495667623966
8604,Deck_Porch_Patio,none,,,8604,48.0546875,37.6500064553626
8605,Deck_Porch_Patio,none,,,8605,52.3046875,35.3941789810101
8606,Deck_Porch_Patio,none,,,8606,13.0390625,14.7681703843055
8607,Deck_Porch_Patio,none,,,8607,89.63671875,42.8121205116211
8608,Deck_Porch_Patio,none,,,8608,40.0078125,25.4681976242831
8609,Deck_Porch_Patio,none,,,8609,53.8359375,33.8245541701662
8610,Deck_Porch_Patio,none,,,8610,23.59375,19.8485615022697
8611,Deck_Porch_Patio,none,,,8611,43.70703125,26.6526810617077
8612,Deck_Porch_Patio,none,,,8612,37.109375,24.9477963882724
8613,Deck_Porch_Patio,none,,,8613,15.28125,15.762290592785
8614,Deck_Porch_Patio,none,,,8614,36.01953125,25.1398528960254
8615,Deck_Porch_Patio,none,,,8615,44.125,27.8496199694414
8616,Deck_Porch_Patio,none,,,8616,41.92578125,25.4863120444281
8617,Deck_Porch_Patio,none,,,8617,86.95703125,39.2260200580021
8618,Building Canopy,none,,,8618,78.87109375,38.1358316691515
8619,Deck_Porch_Patio,none,,,8619,26.4296875,20.944720062265
8620,Deck_Porch_Patio,none,,,8620,52.3203125,29.0032553137959
8621,Deck_Porch_Patio,none,,,8621,30.359375,42.979883216613
8622,Deck_Porch_Patio,none,,,8622,18.15234375,19.9400281482362
8623,Deck_Porch_Patio,none,,,8623,50.19140625,29.4285671481503
8624,Deck_Porch_Patio,none,,,8624,88.31640625,70.803641157217
8625,Deck_Porch_Patio,none,,,8625,8.73046875,14.9824458270192
8626,Deck_Porch_Patio,none,,,8626,8.51171875,12.2015192849572
8627,Deck_Porch_Patio,none,,,8627,23.9921875,19.5934348301896
